source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
4421572967566553088,229.6222725856319,0.02780549236575236,2.088620528226507,0.025416241629293068,0.010869643390574769,0.03258488330208363,13.344393,1.2275667,,,"NOT_AVAILABLE",4890.27,
4421571769271242496,229.66155874410984,17.97764085742729,2.0471242709496553,6.021052311231641,,,19.042053,,,,"NOT_AVAILABLE",,
4421572903142780672,229.64004739983392,11.546437364810727,2.0746608722094995,1.282102108206493,,,16.61308,,,,"NOT_AVAILABLE",,
4421572834419280384,229.60618616683385,0.5901543543045612,2.064098508182342,0.8951398882904803,,,18.123121,0.62234306,,,"NOT_AVAILABLE",,
4421572005493879040,229.62255038692786,0.4511898327693755,2.0502190671149916,0.35763328343043416,-1.745635177956865,0.4964444638846525,17.817846,0.6267986,,,"NOT_AVAILABLE",,
4421571734908954112,229.64019598449278,1.4356316017725579,2.0365822779528475,0.7569655808115466,,,19.763971,,,,"NOT_AVAILABLE",,
4421572181583922432,229.65422386207658,0.29515758354695487,2.085085043948865,0.3564911754367505,0.6908304829277879,0.4285350623216332,16.700052,,,,"NOT_AVAILABLE",,
4421572555249780736,229.67219394125328,0.026022523873502536,2.0837099145530917,0.027241995095584892,0.09879204503424224,0.033785178258551166,13.274968,1.3178444,,,"NOT_AVAILABLE",4853.8804,0.5027
4421571941065334016,229.62828824521316,0.5755341309694895,2.041495582421237,0.38562275015705216,3.3919849007232896,0.4885960779791152,18.558142,,,,"NOT_AVAILABLE",,
4421573040578281856,229.59206539126555,0.20730745400827952,2.0859745732505526,0.181100302067449,0.10504291165537558,0.23069210577699623,18.684965,0.63077736,,,"NOT_AVAILABLE",,
4421571769271242368,229.66172289538932,0.6553663764969098,2.046822210962349,0.3492280605816241,0.44018435516870086,0.42214232591262213,18.949543,0.8812027,,,"NOT_AVAILABLE",,
4421572834419548288,229.600368809326,0.18379453153884834,2.073763470218269,0.2618543477176784,-0.6923086689965068,0.3078461694432977,17.823944,0.71113205,,,"NOT_AVAILABLE",,
4421572147224071168,229.65290458143386,10.57010482695919,2.07300346032403,3.5051923098648787,,,18.228525,,,,"NOT_AVAILABLE",,
4421478104619824640,229.61957163275588,1.0422434343063927,2.037699661849013,0.7429667296446364,,,19.687721,,,,"NOT_AVAILABLE",,
4421573345523826944,229.67279269564017,0.2848811091716377,2.1092716816397625,0.45633032733358203,,,18.107882,0.6442814,,,"NOT_AVAILABLE",,
4421571975428996992,229.63783612581946,8.072425515117324,2.0512042311896885,1.147477434632538,,,19.366991,,,,"NOT_AVAILABLE",,
4421572284662550144,229.68588843323406,0.16532461153509023,2.06791742000563,0.18763856482424718,0.40442937604984663,0.2452841703896632,18.121387,0.6663704,,,"NOT_AVAILABLE",,
4421572490823224064,229.68419385928638,0.8247820552469346,2.0779284259078183,0.6384768656110431,-0.14550693622754216,0.7493391004994602,19.456022,0.60422325,,,"NOT_AVAILABLE",,
4421572593903303040,229.67896829198446,0.5349596649299556,2.1009090007215896,0.7961328680728235,,,17.826895,0.66301346,,,"NOT_AVAILABLE",,
4421572589609520896,229.67339888929814,0.5763325938563597,2.0958722088312483,1.0090496738252008,,,17.962435,0.7157955,,,"NOT_AVAILABLE",,
4421478173339301504,229.61961538662015,0.2445384690995019,2.038149631080742,0.2057219562069862,-0.5015133098360454,0.2713749057619188,18.601145,0.76340866,,,"NOT_AVAILABLE",,
4421573384175513600,229.65142425808457,5.459580988038952,2.1137057194341082,1.630583733490728,,,19.01533,,,,"NOT_AVAILABLE",,
4421572834419548160,229.59957136819153,0.5324531090204041,2.073697928136536,0.706687961379542,,,19.344526,,,,"NOT_AVAILABLE",,
4421572181583922688,229.65491428959038,0.18238948576339953,2.0830315317357684,0.5742588837810693,-3.561727803701978,0.7367619657823417,15.30629,,,,"NOT_AVAILABLE",,
4421572044144853888,229.63826928600264,5.130087026389292,2.063717469471984,5.224300917076275,,,17.647505,,,,"NOT_AVAILABLE",,
4421573143657618304,229.6009374356634,1.7837100611151913,2.0993487145212497,0.8464070122066886,,,18.992172,0.5629959,,,"NOT_AVAILABLE",,
4421571941065333760,229.63419645503893,1.206908706475977,2.0451551278930395,0.4611242358690173,,,18.822111,0.5937538,,,"NOT_AVAILABLE",,
4421572868781887104,229.61123942857927,0.3826080580612957,2.0856644528474844,0.7293855617308431,,,18.273375,0.68398094,,,"NOT_AVAILABLE",,
4421571902414753664,229.67354218702764,0.04200429790458115,2.0647927945675337,0.034774603736698356,0.04334241911787062,0.052819708848853876,11.932933,1.6381207,59.161891723054985,0.9411952386940252,"NOT_AVAILABLE",4446.15,
4421572765702367616,229.61559905559926,0.394686231421446,2.06323014409217,0.5557261373518865,,,17.550825,0.7060261,,,"NOT_AVAILABLE",,
4421572044144853760,229.64180109104504,15.406989929963832,2.0659114744836176,2.5158040614184953,,,17.794464,,,,"NOT_AVAILABLE",,
4421572903142780288,229.64118085690242,0.46053301240923156,2.0755603905224165,0.22102376756748301,1.1522172912070239,0.3043930625788925,15.474958,,,,"NOT_AVAILABLE",,
4421573418535252096,229.65131786316115,0.34141543012546627,2.114213513684682,0.20689787885271782,-0.6810504802890212,0.3193521670453996,18.59669,0.63323975,,,"NOT_AVAILABLE",,
4421571769268692096,229.65943555287598,1.7259854984136183,2.048105489994368,0.8550927335215739,,,19.797934,,,,"NOT_AVAILABLE",,
